hour,hod,solar_gen_mwh,solar_forecast_mwh,spot_price_eur,rev_merchant,rev_pay_as_produced,rev_pay_as_forecasted,rev_baseload_collar
0,0,0.0,0.0,73.84227774753323,0.0,0.0,0.0,0.0
1,1,0.0,0.0,73.41183414806332,0.0,0.0,0.0,0.0
2,2,0.0,0.0,60.59140186572995,0.0,0.0,0.0,0.0
3,3,0.0,0.0,65.33930510584699,0.0,0.0,0.0,0.0
4,4,0.0,0.0,82.3843033517552,0.0,0.0,0.0,0.0
5,5,0.0,0.0,42.0335156437322,0.0,0.0,0.0,57.46707543133044
6,6,0.0,0.0,45.215949118610915,0.0,0.0,0.0,34.51025578827705
7,7,0.7388063498336739,0.8334289007763714,85.46064665586303,63.13886841024353,45.80599368968778,41.56446135839718,59.81594515629354
8,8,1.5595433920168515,1.4232191168781314,87.17930926662049,135.95991568735147,96.6916903050448,97.15307735359391,120.23923835814247
9,9,2.670673728184543,2.6938145204484263,77.96825940367141,208.2277820216627,165.58177114744169,164.76119115025628,208.22778202166268
10,10,3.446227213839905,3.736073133123784,83.03570922278197,286.15992084404843,213.6660872580741,201.55208241234195,286.15992084404843
11,11,2.275444028951468,1.956642877269017,72.44782805141274,164.8509777500898,141.07752979499102,138.63419665544097,164.85097775008978
12,12,3.321130610199532,3.6834069819675253,126.89494094489879,421.4346726515653,205.91009783237098,170.90743438044694,119.22109589641599
13,13,3.2042696840437257,3.531638164522815,138.41253400703303,443.5110866104072,198.664720410711,162.32169002898618,58.21413710397803
14,14,1.9397083389594258,2.0793944386405276,121.68349532541133,236.03049059643067,120.2619170154844,107.67558912374983,-28.5897733336285
15,15,2.4804032214613594,2.724918054831834,111.29976007627087,276.06828344105867,153.78499973060428,134.92686653804475,86.35218929724101
16,16,1.212811108578922,1.2008016586208314,108.09058566121028,131.09346302271737,75.19428873189317,75.4232841940708,-35.472912884663174
17,17,0.7737487651150255,0.6961583777220358,99.09843132140018,76.67728885976956,47.97242343713158,48.92863367596499,-25.02323297366604
18,18,3.702194562695492e-16,4.2221336412618336e-16,52.24783571361509,1.9343165329155312e-14,2.295360628871205e-14,2.278151713107054e-14,0.0
19,19,0.0,0.0,71.95457671477848,0.0,0.0,0.0,0.0
20,20,0.0,0.0,91.39571870642823,0.0,0.0,0.0,-46.13619168795708
21,21,0.0,0.0,51.590081861727946,0.0,0.0,0.0,0.0
22,22,0.0,0.0,65.60853265036985,0.0,0.0,0.0,0.0
23,23,0.0,0.0,80.46144828735281,0.0,0.0,0.0,0.0
24,0,0.0,0.0,76.8091404499518,0.0,0.0,0.0,0.0
25,1,0.0,0.0,69.59529980052393,0.0,0.0,0.0,0.0
26,2,0.0,0.0,55.67376752970972,0.0,0.0,0.0,0.0
27,3,0.0,0.0,66.80758391056573,0.0,0.0,0.0,0.0
28,4,0.0,0.0,48.52145736805602,0.0,0.0,0.0,10.665623273522499
29,5,0.0,0.0,91.38402554153112,0.0,0.0,0.0,-46.051841809249936
30,6,0.0,0.0,30.68458008725067,0.0,0.0,0.0,139.33381947087767
31,7,0.805521481457782,0.9882402881776531,69.67829333513995,56.12736207277184,49.94233185038249,45.356479601422095,56.1273620727718
32,8,1.8183450342515513,1.9872904118337065,64.97130992896518,118.14025877815234,112.73739212359618,109.49125242374448,118.14025877815237
33,9,1.6686713370607773,1.4391370496176363,94.57714323871981,157.81816806354325,103.45762289776819,105.50801996257402,88.73243484633656
34,10,1.6237508753339487,1.6930574240961194,80.18748195565675,130.20449401632285,100.67255427070482,98.02266325861514,130.20449401632288
35,11,3.0652301713391776,2.937331068570832,139.8463556221715,428.66126860490834,190.044270623029,195.52919380851563,33.02129559810578
36,12,3.441182785842653,3.648409775670712,113.57745071379311,390.84076825619724,213.3533327222445,196.78101456187906,184.69431238415456
37,13,4.3420081352243205,3.9615461103530736,77.29888242482542,335.63237633234024,269.2045043839079,267.67282583761573,335.6323763323402
38,14,2.99765424832601,3.1961397138389085,45.519335415103626,136.45122918806197,185.8545633962126,186.86700415838158,168.7729759169242
39,15,1.8017227524589445,1.9606421629877535,75.79082896610909,136.55406097596318,111.70681065245456,106.50402177676092,136.55406097596318
